LAST_NAME,FIRST_NAME,EMAIL_ADDRESS,ZIPCODE,CITY,STATE,STREET,HOMEPHONE
Armacost,Kate,hgle.Saud@jumpstartlab.com,84102,Salt Lake City,UT,1033 Barbara Pl,(801) 550-5000
Berkley,Susan,ceebst.4@jumpstartlab.com,84102,Salt Lake City,UT,1033 Barbara Pl,(801) 550-5000
Boozel,Alex,jyhiang@jumpstartlab.com,84103,Salt Lake City,UT,220 A Street,(801) 550-5000
Cebulski,Kate,orazrya1@jumpstartlab.com,84102,Salt Lake City,UT,1033 Barbara Pl Apt 2,(801) 550-5000
Engel,Megan,bgc64@jumpstartlab.com,84102,Salt Lake City,UT,219 Elizabeth St.,(801) 550-5000
Gilbert,Kristen,tpollins6@jumpstartlab.com,84121,Salt Lake City,UT,1343 Ashwood Circle,(801) 550-5000
Kopkin,Emma,sxcoffey@jumpstartlab.com,84102,Salt Lake City,UT,1033 Barbara Pl,(801) 550-5000
Ludmer,Eileen,mhulger@jumpstartlab.com,84103,Salt Lake City,UT,723 11th Avenue,(801) 550-5000
Myett,Student,wjang@jumpstartlab.com,84106,Salt Lake City,UT,834 E. Pond View Way,(801) 550-5000
Panek,Michael,dntisler@jumpstartlab.com,84105,Salt Lake City,UT,1434 Wilson Ave.,(801) 362-6000
Woolworth,Lindsey,eoeal@jumpstartlab.com,84111,Salt Lake City,UT,350 South 200 East #406,(801) 359-4000
Wynn,Rich,vkrenzo.serna@jumpstartlab.com,84109,Salt Lake City,UT,2887 Wainwright Road,(801) 550-5000
Xx,Adrienne,rrthleen.oflaherty@jumpstartlab.com,84121,Salt Lake City,UT,1213 Medical Plaza,(801) 550-5000
