LAST NAME      FIRST NAME     EMAIL                                   ZIPCODE   CITY           STATE     ADDRESS                       PHONE          
Schweitzer     Paul           yxrodri7@jumpstartlab.com               48104     Ann Arbor      MI        522 Detroit St. Apt #2        (651) 303-0000 
Haynes         Paul           bbily.walker07@jumpstartlab.com         28804     Asheville      NC        1 University Hts              (828) 989-3000 
Ackerman       Paul           gnerhoun@jumpstartlab.com               05401     Burlington     VT        9 Booth St.                   (908) 642-8000 
Colon          Paul           klele1aj@jumpstartlab.com               13617     Canton         NY        23 Romoda Dr.                 (518) 225-2000 
Sullivan       Paul           ms3514a@jumpstartlab.com                13323     Clinton        NY                                      (207) 899-5000 
Barsky         Paul           osrafleming@jumpstartlab.com            48823     East Lansing   MI        501 Sunset Lane               (269) 806-0000 
Levedahl       Paul           vrrtinc@jumpstartlab.com                17325     Gettysburg     PA        Box 0284 Gettysburg College   (952) 250-1000 
Porter         Paul           ssrdenj@jumpstartlab.com                22801     Harrisonburg   VA        883 D Port Republic Road      (757) 353-9000 
Oldfield       Paul           eburtnee@jumpstartlab.com               01040     Holyoke        MA        259 Maple St Apt 508          (330) 546-6000 
Sauer          Paul           eferry13@jumpstartlab.com               49006     Kalamazoo      MI        495 Hicks Center              (248) 921-4000 
Scruggs        Paul           um72213@jumpstartlab.com                45056     Oxford         OH        650 S Patterson Ave           (815) 751-9000 
Lazarowski     Paul           qnudmer@jumpstartlab.com                20860     Sandy Spring   MD        17714 Meetinghouse Rd         (301) 379-0000 
Drinkwine      Paul           fmittny.scott@jumpstartlab.com          94309     Stanford       CA        P.o. Box 16500                (813) 361-3000 
Fulghum        Paul           cnroh@jumpstartlab.com                  14517     Tehran         YK        Shohadaye Sadeghiye           (000) 009-8200 
Davison        Paul           wcll16@jumpstartlab.com                 20016     Washington     DC        4400 Massachusetts Avenue     (305) 283-5000 
